,row_doc,col_feature,tfidf_value
313,33,9211,0.570199830165
322,34,1886,0.285970804097
321,34,5020,0.279432844943
320,34,6956,0.220531822073
319,34,6977,0.525643842884
318,34,8271,0.543891769193
317,34,10063,0.217751537775
316,34,10070,0.414690561096
325,35,7916,0.293885485449
324,35,8400,0.26132481026
323,35,9688,0.919424094194
332,36,1722,0.333658622144
331,36,5065,0.382573549301
330,36,6394,0.383415053621
329,36,8092,0.301961252571
328,36,8756,0.378504512589
327,36,10490,0.46956836715
326,36,10826,0.374648614527
334,37,2135,0.626020930959
333,37,6228,0.779806254143
336,38,2379,0.785003102187
335,38,9211,0.619491831711
378,39,637,0.314376999003
377,39,638,0.157188499501
376,39,639,0.157188499501
375,39,640,0.157188499501
374,39,641,0.157188499501
373,39,1198,0.0701956884768
372,39,1214,0.157188499501
371,39,1215,0.157188499501
370,39,1740,0.135259834256
369,39,1745,0.157188499501
368,39,2095,0.157188499501
367,39,2096,0.157188499501
366,39,2097,0.157188499501
365,39,2135,0.0570014849912
364,39,2196,0.150091140426
363,39,2271,0.0979473158058
362,39,2293,0.124424022601
361,39,2295,0.130860765871
360,39,3721,0.157188499501
359,39,3965,0.137958124947
358,39,3967,0.157188499501
357,39,3968,0.157188499501
356,39,4028,0.0761462640635
355,39,4029,0.100497890504
354,39,4031,0.157188499501
353,39,4182,0.125825109468
352,39,4185,0.150091140426
351,39,4186,0.150091140426
350,39,5542,0.135259834256
349,39,5620,0.0944617194344
348,39,5645,0.157188499501
347,39,6736,0.0677598351049
346,39,6824,0.110993803299
345,39,6825,0.110993803299
344,39,7573,0.300182280851
343,39,8210,0.141149525464
342,39,8211,0.141149525464
341,39,9693,0.0745947568621
340,39,10160,0.0490846288012
339,39,10254,0.150091140426
338,39,10928,0.318106120891
337,39,10985,0.159469833017
383,40,860,0.2804091333
382,40,2135,0.240765173511
381,40,2140,0.520068027901
380,40,4657,0.282291600159
379,40,9822,0.716410181405
394,41,2920,0.318755785804
393,41,6228,0.258097828171
392,41,6241,0.339093218806
391,41,7419,0.208458432289
390,41,7446,0.294990123393
389,41,7676,0.268099125128
388,41,7681,0.475674398749
387,41,9569,0.257636758639
386,41,9593,0.371871723575
385,41,10160,0.17842094334
384,41,10516,0.227330975538
397,42,2135,0.498786547594
396,42,3200,0.561267248128
395,42,3215,0.660447617997
403,43,1117,0.373145039034
402,43,4374,0.317431114147
401,43,5558,0.524809711406
400,43,6701,0.415429399832
399,43,8801,0.304748996507
398,43,8818,0.468104152206
410,44,5351,0.345519548535
409,44,6576,0.22305227568
408,44,6956,0.231200040341
407,44,8347,0.47801484698
406,44,8357,0.570202512257
405,44,10160,0.186474555236
404,44,10201,0.434751200772
413,45,1647,0.50828401914
412,45,5020,0.441821180272
411,45,7278,0.739216748017
430,46,1003,0.0856692741709
429,46,1617,0.247497352232
428,46,2445,0.284771409562
427,46,2470,0.24948606192
426,46,2472,0.258729951777
425,46,2611,0.136070528648
424,46,2615,0.15467309132
423,46,3659,0.192825151576
422,46,3662,0.296601587528
421,46,3795,0.471920693579
420,46,3796,0.27110613056
419,46,6576,0.123374850185
418,46,8292,0.229490706512
417,46,9229,0.195082434553
416,46,9879,0.182243580873
415,46,10160,0.206285905359
414,46,10262,0.274981518888
440,47,1003,0.148245732285
439,47,2611,0.235462192915
438,47,2615,0.267652853481
437,47,3659,0.333672790798
436,47,6228,0.258187487324
435,47,6241,0.339211014492
434,47,7419,0.417061694984
433,47,7832,0.389395868312
432,47,10160,0.356965847976
431,47,10826,0.323861189408
449,48,2094,0.408550203127
448,48,5125,0.354608521691
447,48,6135,0.235965439715
446,48,6880,0.257551498111
445,48,6906,0.362460396341
444,48,9111,0.362460396341
443,48,9600,0.244273828667
442,48,10160,0.159376257664
441,48,10253,0.487341248243
458,49,1003,0.147539397235
457,49,2717,0.306398310237
456,49,2810,0.40637028472
455,49,5919,0.205052795223
454,49,6362,0.329860065517
453,49,8131,0.422990051998
452,49,8292,0.395228287357
451,49,8756,0.325635423393
450,49,9630,0.356646420994
475,50,1865,0.153172203158
474,50,1943,0.359246049717
473,50,3154,0.239733707344
472,50,3172,0.194222656812
471,50,3175,0.308149939389
470,50,4287,0.283416134224
469,50,5211,0.291698608304
468,50,6228,0.175849799971
467,50,6455,0.195443898178
466,50,6576,0.145408715585
465,50,6601,0.28947498236
464,50,7381,0.152615220744
463,50,7644,0.24407244553
462,50,8306,0.236422846946
461,50,8801,0.161489112237
460,50,8825,0.279801441288
459,50,9788,0.273367255729
494,51,985,0.157487020929
493,51,994,0.255816042052
492,51,2135,0.194307195484
491,51,4028,0.259568097551
490,51,4049,0.240575911672
489,51,4082,0.217052829798
488,51,4734,0.343759745124
487,51,4735,0.378356715414
486,51,6017,0.214456905341
485,51,6362,0.155355091994
484,51,6736,0.346470540049
483,51,7966,0.196373261443
482,51,8092,0.122351007684
481,51,8121,0.230537494418
480,51,9477,0.181680564967
479,51,9561,0.21206888633
478,51,9569,0.120803696686
477,51,10160,0.167320142014
476,51,11017,0.144542970163
543,52,86,0.150304595649
542,52,87,0.150304595649
541,52,88,0.150304595649
540,52,96,0.129336273073
539,52,98,0.150304595649
538,52,99,0.150304595649
537,52,487,0.150304595649
536,52,488,0.150304595649
535,52,489,0.150304595649
534,52,551,0.150304595649
533,52,552,0.150304595649
532,52,553,0.150304595649
531,52,860,0.126959775346
530,52,872,0.150304595649
529,52,915,0.150304595649
528,52,966,0.150304595649
527,52,967,0.150304595649
526,52,3069,0.150304595649
525,52,3070,0.150304595649
524,52,3695,0.150304595649
523,52,3696,0.150304595649
522,52,5061,0.150304595649
521,52,5062,0.150304595649
520,52,5584,0.143518057897
519,52,5585,0.150304595649
518,52,6442,0.150304595649
517,52,6443,0.150304595649
